Key,Source,Context,Changes,English,French,German,Klingon,Spanish
9mmBulletSchematicDesc,items,Book,KgNone,Learn to craft this ammunition type if you meet the skill requirement or improve your base skill if you do not.,"Apprenez à fabriquer ce type de munition si vous avez les compétences requises. Si ce n'est pas le cas, améliorez votre compétence de base.","Wenn du die erforderliche Fertigkeit besitzt, kannst du lernen, diese Munition zu fertigen. Ansonsten musst du deine Fertigkeit verbessern.",,Aprendes a crear este tipo de munición si adquieres la habilidad necesaria o mejoras tu habilidad de base si no.
ak47Schematic,items,Book,KgNone,AK-47 Schematic,Schéma d'AK-47,Bauplan – AK-47,,Esquema de AK-47
ak47SchematicDesc,items,Book,KgNone,"Learn how to assemble, repair and augment AK-47 Assault Rifles by reading this schematic.","Apprenez à assembler, réparer et perfectionner les fusils d'assaut AK-47 en lisant ce schéma.","In diesem Bauplan erfährst du, wie AK-47-Sturmgewehre zusammengesetzt, repariert und verbessert werden.",,"Lee el esquema para aprender a armar, reparar e incrementar un rifle de asalto AK-47."
ammunitionNationBook,items,Book,KgNone,Ammunition Nation Book,Livre « La nation des munitions »,Buch „Munition-Nation“,,Libro Nación de munición
ammunitionNationBookDesc,items,Book,KgNone,Learn to craft brass casings and lead tips for ammunition crafting.,Apprenez à fabriquer des douilles en laiton et des pointes en plomb pour la fabrication de munitions.,"In diesem Buch erfährst du, wie Patronenhülsen aus Messing und Geschossspitzen aus Blei gefertigt werden.",,Aprende a fabricar cartuchos de latón y puntas de bala de plomo para fabricar munición.
augerSchematic,items,Book,KgNone,Auger Schematic,Schéma de foreuse,Bauplan – Erdbohrer,,Esquema de taladro
augerSchematicDesc,items,Book,KgNone,Learn how to repair and assemble augers by reading this schematic.,Apprenez à assembler et réparer les foreuses en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Erdbohrer zusammengesetzt und repariert werden.",,Lee este esquema para aprender a reparar y armar taladros.
chainsawSchematic,items,Book,KgNone,Chainsaw Schematic,Schéma de tronçonneuse,Bauplan – Kettensäge,,Esquema de motosierra
chainsawSchematicDesc,items,Book,KgNone,Learn how to assemble and repair chainsaws by reading this schematic.,Apprenez à assembler et réparer les tronçonneuses en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Kettensägen zusammengesetzt und repariert werden.",,Lee este esquema para aprender a armar y reparar motosierras.
clawHammerSchematic,items,Book,KgNone,Claw Hammer Schematic,Schéma d'arrache-clou,Bauplan – Klauenhammer,,Esquema de martillo de orejas
clawHammerSchematicDesc,items,Book,KgNone,Learn how to craft a claw hammer by reading this schematic.,Apprenez à fabriquer un arrache-clou en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Klauenhämmer gefertigt werden.",,Lee este esquema para aprender a fabricar un martillo de orejas.
clubSpikedSchematic,items,Book,KgNone,Spiked Club Schematic,Schéma de massue à pointes,Bauplan – Nagelkeule,,Esquema del lucero del alba
clubSpikedSchematicDesc,items,Book,KgNone,Learn how to make a spiked club by reading this schematic.,Apprenez à fabriquer une massue à pointes en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Nagelkeulen gefertigt werden.",,Lee este esquema para aprender a elaborar un lucero del alba.
crossbowSchematic,items,Book,KgNone,Crossbow Schematic,Schéma d'arbalète,Bauplan – Armbrust,,Esquema de ballesta
crossbowSchematicDesc,items,Book,KgNone,Learn to craft a crossbow by reading this schematic.,Apprenez à fabriquer une arbalète en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Armbrüste gefertigt werden.",,Lee el esquema para aprender a fabricar una ballesta.
explodingCrossbowBoltSchematic,items,Book,KgNone,Exploding Crossbow Bolt Schematic,Schéma de carreau d'arbalète explosif,Bauplan – Sprengbolzen für Armbrüste,,Esquema de saeta explosiva para ballesta
explodingCrossbowBoltSchematicDesc,items,Book,KgNone,Learn to craft exploding crossbow bolts by reading this schematic.,Apprenez à fabriquer des carreaux d'arbalète explosifs en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Sprengbolzen für Armbrüste gefertigt werden.",,Lee el esquema para aprender a fabricar saetas explosivas para ballesta.
firstAidKitSchematic,items,Book,KgNone,First Aid Kit Schematic,Schéma de trousse de premiers soins,Bauplan – Verbandskasten,,Esquema de botiquín de primeros auxilios
firstAidKitSchematicDesc,items,Book,KgNone,Learn to make first aid kits by reading this schematic.,Apprenez à fabriquer des trousses de premiers soins en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Verbandskasten gefertigt werden.",,Lee el esquema para aprender a fabricar un botiquín de primeros auxilios.
flamingArrowSchematic,items,Book,KgNone,Flaming Arrow Schematic,Schéma de flèche enflammée,Bauplan – Feuerpfeil,,Esquema de flecha incendiaria
flamingArrowSchematicDesc,items,Book,KgNone,Learn to craft flaming arrows by reading this schematic.,Apprenez à fabriquer des flèches enflammées en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Feuerpfeile gefertigt werden.",,Lee el esquema para aprender a fabricar flechas incendiarias.
gasCanSchematic,items,Book,KgNone,Gas Can Schematic,Schéma de bidon d'essence,Bauplan – Benzinkanister,,Esquema de bidón de gas
gasCanSchematicDesc,items,Book,KgNone,Learn how to craft gas by reading this schematic.,Apprenez à fabriquer de l'essence en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Benzin gefertigt wird.",,Lee este esquema para aprender a producir gas.
herbalAntibioticsRecipe,items,Book,KgNone,Herbal Antibiotics Recipe,Composition d'antibiotiques naturels,Rezept – Natürliche Antibiotika,,Receta de antibióticos herbales
herbalAntibioticsRecipeDesc,items,Book,KgNone,Read this ancient Navezgane Apache Indian medicine man recipe to learn how to make herbal antibiotics.,Lisez cette composition issue d'un vieux chaman apache de Navezgane pour apprendre à fabriquer des antibiotiques naturels.,"In diesem alten Medizinmann-Rezept der Apache-Indianer von Navezgane erfährst du, wie natürliche Antibiotika gefertigt werden.",,Lee esta antigua receta de los indios apaches de Navezgane para aprender a elaborar antibióticos herbales.
huntingKnifeBook,items,Book,KgNone,Hunting Knife Book,Livre « Le couteau de chasse »,Buch „Jagdmesser“,,Libro del Cuchillo de caza
huntingKnifeBookDesc,items,Book,KgNone,Learn how to craft a hunting knife by reading this book.,Apprenez à fabriquer un couteau de chasse en lisant ce livre.,"In diesem Buch erfährst du, wie Jagdmesser gefertigt werden.",,Lee este libro para aprender a fabricar un cuchillo de caza.
huntingRifleSchematic,items,Book,KgNone,Hunting Rifle Schematic,Schéma de fusil de chasse,Bauplan – Jagdgewehr,,Esquema de rifle de caza
huntingRifleSchematicDesc,items,Book,KgNone,Learn how to repair and assemble hunting rifles by reading this schematic.,Apprenez à assembler et réparer les fusils de chasse en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Jagdflinten zusammengesetzt und repariert werden.",,Lee este esquema para aprender a reparar y armar rifles de caza.
ironBootsSchematic,items,Book,KgNone,Iron Boots Schematic,Schéma de bottes en fer,Bauplan – Eisenstiefel,,Esquema de botas de hierro
ironBootsSchematicDesc,items,Book,KgNone,Learn how to craft iron boots by reading this schematic.,Apprenez à fabriquer des bottes en fer en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Eisenstiefel gefertigt werden.",,Lee este esquema para aprender a fabricar botas de hierro.
ironChestArmorSchematic,items,Book,KgNone,Iron Chest Armor Schematic,Schéma de plastron en fer,Bauplan – Eisenbrustpanzer,,Esquema de coraza de hierro
ironChestArmorSchematicDesc,items,Book,KgNone,Learn how to craft iron chest armor by reading this schematic.,Apprenez à fabriquer des plastrons en fer en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Eisenbrustpanzer gefertigt werden.",,Lee este esquema para aprender a fabricar una coraza de hierro.
ironGlovesSchematic,items,Book,KgNone,Iron Gloves Schematic,Schéma de gants en fer,Bauplan – Eisenhandschuhe,,Esquema de guantes de hierro
ironGlovesSchematicDesc,items,Book,KgNone,Learn how to craft iron gloves by reading this schematic.,Apprenez à fabriquer des gants en fer en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Eisenhandschuhe gefertigt werden.",,Lee este esquema para aprender a fabricar guantes de hierro.
ironHelmetSchematic,items,Book,KgNone,Iron Helmet Schematic,Schéma de casque en fer,Bauplan – Eisenhelm,,Esquema de casco de hierro
ironHelmetSchematicDesc,items,Book,KgNone,Learn how to craft iron helmets by reading this schematic.,Apprenez à fabriquer des casques en fer en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Eisenhelme gefertigt werden.",,Lee este esquema para aprender a fabricar cascos de hierro.
ironLegArmorSchematic,items,Book,KgNone,Iron Leg Armor Schematic,Schéma de jambières en fer,Bauplan – Eisenbeinschienen,,Esquema de espinillera de hierro
ironLegArmorSchematicDesc,items,Book,KgNone,Learn how to craft iron leg armor by reading this schematic.,Apprenez à fabriquer des jambières en fer en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Eisenbeinschienen gefertigt werden.",,Lee este esquema para aprender a fabricar espinilleras de hierro.
leatherBootsSchematic,items,Book,KgNone,Leather Boots Schematic,Schéma de bottes en cuir,Bauplan – Lederstiefel,,Esquema de botas de cuero
leatherBootsSchematicDesc,items,Book,KgNone,Learn how to craft leather boots by reading this schematic.,Apprenez à fabriquer des bottes en cuir en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Lederstiefel gefertigt werden.",,Lee este esquema para aprender a fabricar botas de cuero.
leatherGlovesSchematic,items,Book,KgNone,Leather Gloves Schematic,Schéma de gants en cuir,Bauplan – Lederhandschuhe,,Esquema de guantes de cuero
leatherGlovesSchematicDesc,items,Book,KgNone,Learn how to craft leather gloves by reading this schematic.,Apprenez à fabriquer des gants en cuir en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Lederhandschuhe gefertigt werden.",,Lee este esquema para aprender a fabricar guantes de cuero.
leatherHoodSchematic,items,Book,KgNone,Leather Hood Schematic,Schéma de capuche en cuir,Bauplan – Lederkapuze,,Esquema de capucha de cuero
leatherHoodSchematicDesc,items,Book,KgNone,Learn how to craft leather hoods by reading this schematic.,Apprenez à fabriquer des capuches en cuir en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Lederkapuzen gefertigt werden.",,Lee este esquema para aprender a fabricar capuchas de cuero.
leatherJacketSchematic,items,Book,KgNone,Leather Chest Armor Schematic,Schéma de plastron en cuir,Bauplan – Lederbrustpanzer,,Esquema de coraza de cuero
leatherJacketSchematicDesc,items,Book,KgNone,Learn how to craft leather chest armor by reading this schematic.,Apprenez à fabriquer des plastrons en cuir en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Lederbrustpanzer gefertigt werden.",,Lee este esquema para aprender a fabricar una coraza de cuero.
leatherPantsSchematic,items,Book,KgNone,Leather Leg Armor Schematic,Schéma de jambières en cuir,Bauplan – Lederbeinschienen,,Esquema de armadura de pierna de cuero
leatherPantsSchematicDesc,items,Book,KgNone,Learn how to craft leather leg armor by reading this schematic.,Apprenez à fabriquer des jambières en cuir en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Lederbeinschienen gefertigt werden.",,Lee este esquema para aprender a fabricar una armadura de pierna de cuero.
leatherTanning,items,Book,KgNone,Leather Tanning,Tanner le cuir,Leder gerben,,Curtido de cuero
macDyverBook,items,Book,KgNone,MacDyvers Book,« Le livre de MacDyver »,Buch „MacDyver“,,El libro de MacDyver
macDyverBookDesc,items,Book,KgNone,Learn MacDyver's secret to making scrap metal armor and more by reading this gem by the king of made-up stuff.,Apprenez les secrets de MacDyver sur la fabrication d'armures en métal recyclé et autres en lisant cette merveille écrite par le roi de la débrouille.,"Finde mit diesem einzigartigen Buch von MacDyver, dem Großmeister der Improvisation, heraus, wie, unter anderem, Rüstung aus Altmetall gefertigt wird.",,Lee esta joya y conoce los secretos de MacDyver para fabricar armaduras con chatarra de metal y mucho más de mano del rey de inventarse cosas.
minibikesForDumbshits,items,Book,KgNone,Minibikes For Dumbshits,« La mini-moto pour les demeurés »,Taschenmotorrad für Vollidioten,,Minimotos para estúpidos
minibikesForDumbshitsDesc,items,Book,KgNone,Even total dumbshits can build a minibike if they follow the steps in this simple guide...Varoom...varoom!,Même les demeurés finis peuvent construire une mini-moto en suivant les étapes présentées dans ce guide... Vroum... Vroum !,"Selbst komplette Vollidioten können ein Taschenmotorrad bauen, wenn sie dieser einfachen Anleitung folgen … Brumm, brumm!",,"Hasta el más idiota puede construir una minimoto si sigue los pasos de esta sencilla guía. ¡Brum, brum!"
pistolBook,items,Book,KgNone,Pistol Book,« Le livre des pistolets »,Buch „Pistolen“,,Libro de la pistola
pistolBookDesc,items,Book,KgNone,"Read the pistol book to learn how to assemble, repair and augment 9mm pistols. ","Lisez « Le livre des pistolets » pour apprendre à assembler, réparer et perfectionner les pistolets de calibre 9 mm. ","In diesem Buch über Pistolen erfährst du, wie 9 mm Pistolen zusammengesetzt, repariert und verbessert werden. ",,"Lee el libro de la Pistola para aprender a armar, reparar y mejorar revólveres de 9 mm. "
pumpShotgunSchematic,items,Book,KgNone,Shotgun Schematic,Schéma de fusil à pompe,Bauplan – Schrotflinte,,Esquema de escopeta
reloadingWeeklyBook,items,Book,KgNone,Reloading Weekly Book,Livre « La recharge hebdomadaire »,Buch „Wöchentlich nachladen“,,Libro “Recarga semanal”
rocketLauncherSchematic,items,Book,KgNone,Rocket Launcher Schematic,Schéma de lance-roquettes,Bauplan – Raketenwerfer,,Esquema de lanzacohetes
rocketLauncherSchematicDesc,items,Book,KgNone,Learn how to assemble and repair rocket launchers and craft rocket ammo by reading this schematic.,Apprenez à assembler et réparer les lance-roquettes et à fabriquer des roquettes en lisant ce schéma.,"In diesem Bauplan erfährst du, wie Raketenwerfer zusammengesetzt und repariert werden und wie Raketenwerfermunition hergestellt wird.",,Lee este esquema para aprender a armar y reparar lanzacohetes y a fabricar cohetes.
scrapArmorSchematicDesc,items,Book,KgNone,Learn MacDyver's secret to making scrap metal armor by reading this gem by the king of made-up stuff.,Apprenez les secrets de MacDyver sur la fabrication d'armures en métal recyclé et autres en lisant cette merveille écrite par le roi de la débrouille.,"Finde mit diesem einzigartigen Buch von MacDyver, dem Großmeister der Improvisation, heraus, wie Rüstung aus Altmetall gefertigt wird.",,Lee esta joya y conoce los secretos de MacDyver para fabricar armaduras con chatarra de metal y mucho más de mano del rey de inventarse cosas.
setInConcrete,items,Book,KgNone,Set In Concrete,Livre « Coulé dans le béton »,Einbetonieren,,Grabado en hormigón
setInConcreteDesc,items,Book,KgNone,Learn to craft concrete if you meet the skill requirement or improve your base skill if you do not.,"Apprenez à fabriquer du béton si vous avez les compétences requises. Si ce n'est pas le cas, améliorez votre compétence de base.","Wenn du die erforderliche Fertigkeitsstufe besitzt, kannst du lernen, Beton zu fertigen. Ansonsten musst du deine Fertigkeit verbessern.",,Aprendes a crear hormigón si adquieres la habilidad necesaria o mejoras tu habilidad de base si no.
shotgunShellSchematic,items,Book,KgNone,Shotgun Shell Schematic,Schéma de cartouche de fusil à pompe,Bauplan – Flintenmunition,,Esquema de cartuchos de escopeta
shotgunShellSchematicDesc,items,Book,KgNone,Learn to craft this ammunition type if you meet the skill requirement or improve your base skill if you do not.,"Apprenez à fabriquer ce type de munition si vous avez les compétences requises. Si ce n'est pas le cas, améliorez votre compétence de base.","Wenn du die erforderliche Fertigkeit besitzt, kannst du lernen, diese Munition zu fertigen. Ansonsten musst du deine Fertigkeit verbessern.",,Aprendes a crear este tipo de munición si adquieres la habilidad necesaria o mejoras tu habilidad de base si no.
